Tracker Experiment Results 03-Nov-2014
BACK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
4.78	404.7413	-233.5038	1220.1709	0.6807 	 0.0788 	 0.7062 	 -0.1781 	-1.4004 	 1.2036 	 -1.5984 	 
4.79	406.3737	-232.3355	1219.209	0.6799 	 0.0782 	 0.7072 	 -0.1775 	-1.3930 	 1.2052 	 -1.6058 	 
4.8	408.2304	-231.0391	1218.1618	0.6779 	 0.0780 	 0.7095 	 -0.1763 	-1.3764 	 1.2064 	 -1.6236 	 
4.81	410.3627	-229.5372	1217.5744	0.6767 	 0.0735 	 0.7117 	 -0.1737 	-1.3578 	 1.2159 	 -1.6397 	 
4.82	412.174	-228.4009	1216.7396	0.6748 	 0.0728 	 0.7136 	 -0.1735 	-1.3423 	 1.2162 	 -1.6545 	 
4.83	414.1183	-227.2976	1215.7173	0.6745 	 0.0725 	 0.7143 	 -0.1719 	-1.3376 	 1.2187 	 -1.6611 	 
4.84	415.8326	-226.121	1214.6934	0.6731 	 0.0727 	 0.7159 	 -0.1707 	-1.3265 	 1.2195 	 -1.6742 	 
4.85	417.845	-224.8044	1213.902	0.6722 	 0.0713 	 0.7172 	 -0.1693 	-1.3156 	 1.2228 	 -1.6852 	 
4.86	419.5864	-223.7191	1212.9424	0.6713 	 0.0716 	 0.7182 	 -0.1685 	-1.3079 	 1.2230 	 -1.6943 	 
4.87	421.7355	-222.4345	1212.042	0.6699 	 0.0709 	 0.7201 	 -0.1664 	-1.2937 	 1.2260 	 -1.7107 	 
4.88	423.5365	-221.283	1211.2135	0.6696 	 0.0701 	 0.7207 	 -0.1654 	-1.2886 	 1.2283 	 -1.7161 	 
4.89	425.6078	-220.0803	1210.2718	0.6691 	 0.0699 	 0.7214 	 -0.1640 	-1.2833 	 1.2301 	 -1.7232 	 
4.9	427.6648	-218.9927	1209.4099	0.6682 	 0.0697 	 0.7227 	 -0.1624 	-1.2736 	 1.2321 	 -1.7349 	 
