Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
2.67	-171.6343	-146.2195	106.4418	0.6918 	 0.4253 	 0.4591 	 -0.3603 	-1.9151 	 0.3349 	 -1.3392 	 
2.68	-170.6565	-146.1603	108.2038	0.6937 	 0.4220 	 0.4558 	 -0.3645 	-1.9144 	 0.3307 	 -1.3271 	 
2.69	-169.5549	-146.3761	109.7183	0.6956 	 0.4207 	 0.4526 	 -0.3666 	-1.9172 	 0.3269 	 -1.3185 	 
2.7	-168.3501	-146.4476	111.4845	0.6982 	 0.4187 	 0.4485 	 -0.3690 	-1.9211 	 0.3228 	 -1.3072 	 
2.71	-167.1814	-146.5735	113.3224	0.7006 	 0.4177 	 0.4439 	 -0.3710 	-1.9261 	 0.3173 	 -1.2970 	 
2.72	-165.9085	-146.6949	115.1831	0.7024 	 0.4148 	 0.4416 	 -0.3736 	-1.9264 	 0.3156 	 -1.2873 	 
2.73	-164.6189	-146.8123	117.142	0.7052 	 0.4128 	 0.4366 	 -0.3764 	-1.9309 	 0.3100 	 -1.2746 	 
2.74	-162.5614	-147.0069	119.2695	0.7069 	 0.4071 	 0.4368 	 -0.3792 	-1.9261 	 0.3140 	 -1.2643 	 
2.75	-161.62	-147.0226	121.8225	0.7100 	 0.4081 	 0.4277 	 -0.3828 	-1.9359 	 0.2993 	 -1.2503 	 
2.76	-159.1696	-147.2447	124.3492	0.7130 	 0.4018 	 0.4268 	 -0.3849 	-1.9345 	 0.3040 	 -1.2367 	 
2.77	-157.6827	-147.1349	127.521	0.7165 	 0.4006 	 0.4182 	 -0.3888 	-1.9425 	 0.2919 	 -1.2199 	 
2.78	-155.5259	-147.1001	130.8454	0.7198 	 0.3972 	 0.4119 	 -0.3930 	-1.9459 	 0.2846 	 -1.2030 	 
2.79	-152.4811	-147.2967	134.3522	0.7237 	 0.3922 	 0.4073 	 -0.3958 	-1.9495 	 0.2828 	 -1.1858 	 
2.8	-150.3276	-147.1553	138.5513	0.7281 	 0.3905 	 0.3971 	 -0.3996 	-1.9595 	 0.2695 	 -1.1659 	 
2.81	-147.2015	-147.1186	142.9622	0.7323 	 0.3879 	 0.3871 	 -0.4041 	-1.9674 	 0.2562 	 -1.1453 	 
2.82	-143.8215	-147.1342	147.8201	0.7366 	 0.3814 	 0.3807 	 -0.4087 	-1.9695 	 0.2516 	 -1.1232 	 
2.83	-140.4794	-146.7155	153.0811	0.7415 	 0.3792 	 0.3702 	 -0.4116 	-1.9805 	 0.2391 	 -1.1027 	 
2.84	-136.0259	-146.8272	158.4685	0.7458 	 0.3732 	 0.3643 	 -0.4144 	-1.9849 	 0.2362 	 -1.0826 	 
2.85	-131.3907	-146.8491	164.4345	0.7509 	 0.3697 	 0.3505 	 -0.4203 	-1.9939 	 0.2174 	 -1.0558 	 
2.86	-126.6115	-147.2242	170.5961	0.7554 	 0.3646 	 0.3395 	 -0.4257 	-1.9994 	 0.2040 	 -1.0306 	 
2.87	-121.3028	-147.5252	176.839	0.7590 	 0.3589 	 0.3291 	 -0.4322 	-2.0013 	 0.1905 	 -1.0057 	 
